school_name,standard_name,province,city,is_985,is_211,is_double_first_class,school_type,ownership,education_level,source
北京交通大学,北京交通大学,北京,海淀区,1,0,1,理工,公办,本科,manual_seed
北京交通大学(威海校区),北京交通大学(威海校区),山东,威海市,1,0,1,理工,公办,本科,manual_seed
华中师范大学,华中师范大学,湖北,武汉市,1,0,1,师范,公办,本科,manual_seed
河海大学,河海大学,江苏,南京,1,0,1,理工,公办,本科,manual_seed
南京农业大学,南京农业大学,江苏,南京,1,0,1,农林,公办,本科,manual_seed
南京理工大学,南京理工大学,江苏,南京,1,0,1,理工,公办,本科,manual_seed
南京师范大学,南京师范大学,江苏,南京,1,0,1,综合 师范,公办,本科,manual_seed
信息工程大学,信息工程大学,河南,郑州市,0,0,0,综合,公办,本科,manual_seed
中国人民解放军信息工程大学,中国人民解放军信息工程大学,河南,郑州市,0,0,0,综合,公办,本科,manual_seed
西安电子科技大学,西安电子科技大学,陕西,西安市,1,0,1,理工,公办,本科,manual_seed
北京科技大学,北京科技大学,北京,海淀区,1,0,1,理工,公办,本科,manual_seed
澳门大学,澳门大学,澳门,澳门,0,0,0,综合,公办,本科,manual_seed
华中农业大学,华中农业大学,湖北,武汉市,1,0,1,农林,公办,本科,manual_seed
郑州大学,郑州大学,河南,郑州市,1,0,1,综合,公办,本科,manual_seed
外交学院,外交学院,北京,西城区,0,0,1,语言,公办,本科,manual_seed
中国海洋大学,中国海洋大学,山东,青岛市,1,1,1,综合,公办,本科,manual_seed
西北大学,西北大学,陕西,西安市,1,0,1,综合,公办,本科,manual_seed
华东理工大学,华东理工大学,上海,徐汇区,1,0,1,理工,公办,本科,manual_seed
中国矿业大学,中国矿业大学,江苏,徐州,1,0,1,综合,公办,本科,manual_seed
中国矿业大学(徐州),中国矿业大学(徐州),江苏,徐州,1,0,1,综合,公办,本科,manual_seed
南京航空航天大学,南京航空航天大学,江苏,南京,1,0,1,理工,公办,本科,manual_seed
上海大学,上海大学,上海,宝山区,1,0,1,综合,公办,本科,manual_seed
北京协和医学院,北京协和医学院,北京,东城区,1,1,1,医药,公办,本科,manual_seed
西北农林科技大学,西北农林科技大学,陕西,杨凌示范区,1,1,1,综合 农林,公办,本科,manual_seed
苏州大学,苏州大学,江苏,苏州,1,0,1,综合,公办,本科,manual_seed
北京邮电大学,北京邮电大学,北京,海淀区,1,0,1,理工,公办,本科,manual_seed
北京邮电大学(宏福校区),北京邮电大学(宏福校区),北京,昌平区,1,0,1,综合,公办,本科,manual_seed
中国地质大学(武汉),中国地质大学(武汉),湖北,武汉市,1,0,1,理工,公办,本科,manual_seed
北京化工大学,北京化工大学,北京,朝阳区,1,0,1,理工,公办,本科,manual_seed
上海财经大学,上海财经大学,上海,杨浦区,1,0,1,财经,公办,本科,manual_seed
长安大学,长安大学,陕西,西安市,1,0,1,理工,公办,本科,manual_seed
北京外国语大学,北京外国语大学,北京,海淀区,1,0,1,语言,公办,本科,manual_seed
云南大学,云南大学,云南,昆明市,1,0,1,综合,公办,本科,manual_seed
哈尔滨工程大学,哈尔滨工程大学,黑龙江,哈尔滨市,1,0,1,理工,公办,本科,manual_seed
合肥工业大学,合肥工业大学,安徽,合肥市,1,0,1,理工,公办,本科,manual_seed
合肥工业大学(宣城校区),合肥工业大学(宣城校区),安徽,宣城市,1,0,1,理工,公办,本科,manual_seed
中国政法大学,中国政法大学,北京,昌平区,1,0,1,政法,公办,本科,manual_seed
湖南师范大学,湖南师范大学,湖南,长沙市,1,0,1,师范,公办,本科,manual_seed
上海外国语大学,上海外国语大学,上海,虹口区,1,0,1,语言,公办,本科,manual_seed
中国传媒大学,中国传媒大学,北京,朝阳区,1,0,1,艺术 语言,公办,本科,manual_seed
东华大学,东华大学,上海,长宁区,1,0,1,理工,公办,本科,manual_seed
南昌大学,南昌大学,江西,南昌市,1,0,1,综合,公办,本科,manual_seed
中国人民公安大学,中国人民公安大学,北京,西城区,0,0,1,政法,公办,本科,manual_seed
中央音乐学院,中央音乐学院,北京,西城区,1,0,1,艺术,公办,本科,manual_seed
中南财经政法大学,中南财经政法大学,湖北,武汉市,1,0,1,财经 政法,公办,本科,manual_seed
昆明理工大学,昆明理工大学,云南,昆明市,0,0,0,理工,公办,本科,manual_seed
深圳大学,深圳大学,广东,深圳市,0,0,0,综合,公办,本科,manual_seed
暨南大学,暨南大学,广东,广州市,1,0,1,综合,公办,本科,manual_seed
华南师范大学,华南师范大学,广东,广州市,1,0,1,师范,公办,本科,manual_seed
江南大学,江南大学,江苏,无锡,1,0,1,综合,公办,本科,manual_seed
陆军军医大学,陆军军医大学,重庆,沙坪坝区,0,0,0,医药 军事,公办,本科,manual_seed
陕西师范大学,陕西师范大学,陕西,西安市,1,0,1,综合 师范,公办,本科,manual_seed
首都师范大学,首都师范大学,北京,海淀区,0,0,1,综合 师范,公办,本科,manual_seed
中国人民解放军陆军军医大学,中国人民解放军陆军军医大学,重庆,沙坪坝区,0,0,0,医药 军事,公办,本科,manual_seed
中央戏剧学院,中央戏剧学院,北京,东城区,0,0,1,艺术,公办,本科,manual_seed
第二军医大学,第二军医大学,上海,杨浦区,1,0,1,医药 军事,公办,本科,manual_seed
海军军医大学,海军军医大学,上海,杨浦区,1,0,1,医药 军事,公办,本科,manual_seed
中国人民解放军海军军医大学,中国人民解放军海军军医大学,上海,杨浦区,1,0,1,医药 军事,公办,本科,manual_seed
第四军医大学,第四军医大学,陕西,西安市,1,0,1,军事,公办,本科,manual_seed
空军军医大学,空军军医大学,陕西,西安市,1,0,1,军事,公办,本科,manual_seed
中国人民解放军空军军医大学,中国人民解放军空军军医大学,陕西,西安市,1,0,1,军事,公办,本科,manual_seed
北京体育大学,北京体育大学,北京,海淀区,1,0,1,体育,公办,本科,manual_seed
中国音乐学院,中国音乐学院,北京,朝阳区,0,0,1,艺术,公办,本科,manual_seed
福建师范大学,福建师范大学,福建,福州市,0,0,0,师范,公办,本科,manual_seed
理工大学,理工大学,江苏,南京,0,0,0,军事,公办,本科,manual_seed
中国人民解放军理工大学,中国人民解放军理工大学,江苏,南京,0,0,0,军事,公办,本科,manual_seed
海军工程大学,海军工程大学,湖北,武汉市,0,0,0,军事,公办,本科,manual_seed
中国人民解放军海军工程大学,中国人民解放军海军工程大学,湖北,武汉市,0,0,0,军事,公办,本科,manual_seed
中央民族大学,中央民族大学,北京,海淀区,1,1,1,民族,公办,本科,manual_seed
福州大学,福州大学,福建,福州市,1,0,1,理工,公办,本科,manual_seed
北京工业大学,北京工业大学,北京,朝阳区,1,0,1,理工,公办,本科,manual_seed
广西大学,广西大学,广西,南宁市,1,0,1,综合,公办,本科,manual_seed
河南大学,河南大学,河南,开封市,0,0,1,综合,公办,本科,manual_seed
燕山大学,燕山大学,河北,秦皇岛,0,0,0,综合,公办,本科,manual_seed
